Code,Score
2371,-9.114
2173,-9.113
1730,-9.113
4760,-9.112
6160,-9.112
5037,-9.112
6088,-9.112
3836,-9.11
4582,-9.11
3158,-9.11
6626,-9.11
2652,-9.109
5012,-9.109
5528,-9.104
6754,-9.104
8671,-9.104
2710,-9.103
6644,-9.103
899,-9.102
5116,-9.101
7912,-9.101
1086,-9.1
5662,-9.099
8644,-9.099
5314,-9.098
2762,-9.097
5586,-9.096
4200,-9.095
6500,-9.094
988,-9.094
3714,-9.094
5396,-9.094
6387,-9.091
7344,-9.09
3934,-9.09
1457,-9.089
7071,-9.088
7488,-9.085
7066,-9.085
4977,-9.085
6158,-9.085
6520,-9.083
1972,-9.083
1610,-9.08
1764,-9.08
6376,-9.078
3621,-9.076
6922,-9.076
3278,-9.074
2726,-9.074
1552,-9.074
1055,-9.072
658,-9.072
4310,-9.072
3604,-9.071
3710,-9.071
5480,-9.068
6452,-9.068
6698,-9.066
2796,-9.065
7148,-9.065
8228,-9.065
3538,-9.062
1334,-9.061
7170,-9.061
4160,-9.058
4394,-9.056
8744,-9.056
788,-9.055
2895,-9.054
2814,-9.046
3302,-9.046
8002,-9.046
2364,-9.045
5033,-9.045
7368,-9.037
8866,-9.032
4596,-9.031
3012,-9.031
8916,-9.03
4130,-9.027
5370,-9.027
94,-9.024
7528,-9.014
670,-9.013
5980,-9.013
5516,-9.005
4740,-9.002
7820,-8.993
5683,-8.987
5004,-8.983
4018,-8.981
8028,-8.945
6146,-8.805
5374,-8.787
4492,-8.743
9136,-8.736
424,-8.72
