Wall time,Step,Value
1737215722.2247465,1,0.9577457308769226
1737215737.4123008,2,0.9657418131828308
1737215752.7499893,3,0.9700910449028015
1737215767.7664683,4,0.970291256904602
1737215782.6422155,5,0.9502090811729431
1737215797.9214215,6,0.9464207291603088
1737215813.0533543,7,0.9459186792373657
1737215828.047196,8,0.9383427500724792
1737215843.056706,9,0.943168044090271
1737215857.8636098,10,0.9500216841697693
1737215872.729682,11,0.9305552840232849
1737215887.6200893,12,0.9355675578117371
1737215902.564846,13,0.9191948771476746
1737215917.444791,14,0.9385591745376587
1737215932.0150034,15,0.9092477560043335
1737215946.9595037,16,0.9379653334617615
1737215962.272595,17,0.9093565940856934
