Wall time,Step,Value
1737214837.5964963,1,0.5266500115394592
1737214866.1280723,2,0.29906514286994934
1737214894.5848293,3,0.3530176281929016
1737214922.9686818,4,0.3608313500881195
1737214950.9873421,5,0.4131610691547394
1737214979.0818205,6,0.4781448543071747
1737215006.7005308,7,0.5758243799209595
1737215033.5748124,8,0.6503180861473083
1737215059.9362245,9,0.7011323571205139
1737215086.3082006,10,0.7337125539779663
1737215112.9560037,11,0.7847850918769836
1737215139.621262,12,0.7883144021034241
1737215165.6501462,13,0.8293653726577759
1737215192.0217679,14,0.8404527306556702
1737215218.2041512,15,0.8719697594642639
1737215244.9250998,16,0.8489697575569153
1737215271.6303132,17,0.8733563423156738
1737215297.5044057,18,0.8670116066932678
1737215323.0592592,19,0.8707854747772217
1737215348.7799392,20,0.8448964953422546
1737215374.6022744,21,0.8636220097541809
1737215399.8927383,22,0.8646233677864075
1737215425.6495569,23,0.8590885400772095
1737215451.222398,24,0.8483602404594421
1737215476.8456376,25,0.8409785628318787
1737215502.129044,26,0.8440051674842834
1737215527.4123821,27,0.8294734358787537
